Username,Team1,Team2,Team3,Team4,Team5,Team6
User1,member,maintainer,member,member,maintainer,member
User2,maintainer,member,member,maintainer,member,member
User3,member,member,maintainer,member,member,member
User4,,member,member,member,member,maintainer
User5,member,,member,member,,member
User6,member,member,member,member,member,
User7,member,member,member,member,member,member
User8,member,member,,member,member,member
User9,member,member,,member,member,member
User10,member,member,,member,member,member